Company name,Company Domain Name,Description,LinkedIn Company Page
KeepBlue,,,Ads client via Upwork and Stripe.
Tipsy Putt,,,Website client — billed in three installments via Stripe.
Sell My Phone,,,Small ads project via Upwork.
Sword & Trowel,,,Logo rebuild and full brand system prospect.
Sukoon Agricultural Service,,,Bilingual UAE plant and tree Instagram account (Daleel). Social retainer.
Nudge,,,Branding and UI/UX client. Constellation-based identity system.
Greatday,greatday.my,,
Kirner,kirner.me,,
Michael James,,,Repositioning programme — brand strategy and dual-market website build.
Dieture,dieture.com,,
Bectiktoks,bectiktoks.com,,
Ashlee Nelson Curated Events,curatedbyashlee.com,,
